AED모델명,우편번호(앞자리),우편번호(뒤자리),관리책임자명,관리자연락처,설치기관주소,설치기관전화번호,설치위치,제조사,설치기관명,경도,위도
저출력심장충격기,27,60,김**,010********,서울특별시 성북구 한천로 724 (장위동),070-8892-5366,3GATE,(주)나눔테크,대우건설장위6구역주택재개발정비현장,127.0572063,37.6171124
HeartGuardian HR-701 Plus A,39,9,설**,02-*******,"서울특별시 마포구 매봉산로 31, S-PLEX CENTER (상암동)",02-2124-2720,시너지움 1층 인포메이션,라디안큐바이오,에스플렉스센터,126.8899726,37.57572697
HeartGuardian HR-701 Plus A,39,9,설**,02-*******,"서울특별시 마포구 매봉산로 31, S-PLEX CENTER (상암동)",02-2124-2720,스마티움 1층 인포메이션,라디안큐바이오,에스플렉스센터,126.8899726,37.57572697
HR-701 Plus A,58,12,최**,010********,"서울특별시 송파구 충민로6길 14 (장지동, 송파파인타운6단지)",02-408-1139,노인정 내부,라디안큐바이오,송파파인타운6단지경로당,127.1314396,37.48069773
HR-701 Plus A,57,38,조**,02-******,"서울특별시 송파구 성내천로 103 (오금동, 송파 두산위브)",02-408-5781,경비실,라디안큐바이오,송파두산위브아파트경로당,127.1407208,37.50053388
Heartstart HSI,30,81,류**,02-*******,서울특별시 종로구 창경궁로22길 19 (원남동),02-2072-7158,1층 로비,PHILIPS,서울대학교병원넥슨어린이통합케어센터,126.9985615,37.57644452
HR-701 Plus A,58,52,황**,010********,"서울특별시 송파구 위례광장로 136, 관리동 1층 (장지동, 위례아이파크)",02-449-9804,1층 입구,라디안큐바이오,위례아이파크1차경로당,127.1423748,37.47719582
HR-701 Plus A,58,43,최**,010********,서울특별시 송파구 성남대로 1565 (장지동),010-2720-7904,경로당 1층 내부 벽면,라디안큐바이오,화훼마을경로당,127.1261899,37.46960221
HR-701 Plus A,58,32,정**,010********,"서울특별시 송파구 중대로12길 35 (가락동, 가락우성2차아파트)",02-400-7459,경로당 입구,라디안큐바이오,가락우성2차아파트경로당,127.1256904,37.49159101
HR-701 Plus A,58,13,임**,02-******,"서울특별시 송파구 송파대로8길 58, 관리동 1층 (장지동, 송파파인타운11단지)",02-401-6145,1층 경로당 입구 로비,라디안큐바이오,송파파인타운11단지아파트경로당,127.1337902,37.48023216
HR-701 Plus A,56,72,허**,02-******,"서울특별시 송파구 오금로32길 10 (송파동, 미성맨션)",02-417-0097,1층 출입구 거울 옆,라디안큐바이오,송파미성경로당,127.1194258,37.50554277
HR-701 PLUS A,75,35,곽**,010********,"서울특별시 강서구 양천로67가길 63, 염창동주민센터 (염창동)",02-2600-7306,지하1층 헬스장 앞,라디안큐바이오,염창동자치회관헬스장,126.8709657,37.55377136
HR-701 PLUS A,75,97,김**,010********,"서울특별시 강서구 방화대로 330, 방화1동주민센터 (마곡동)",02-2600-7946,지하1층 헬스장,라디안큐바이오,방화1동자치회관헬스장,126.817051,37.57034251
HeartOn A16-GS,76,71,김**,02-*******,"서울특별시 강서구 등촌로 143, 등촌2동주민센터 (등촌동)",02-2600-7390,지하 헬스장,메디아나,등촌2동자치회관헬스장,126.8625035,37.54265827
HR-701 Plus A,83,64,정**,02-*******,"서울특별시 구로구 천왕로 9 (천왕동, 천왕이펜하우스6단지)",226861506,경로당,라디안큐바이오,천왕이펜하우스6단지아파트,126.8422575,37.47902076
HR-701 Plus A,58,13,정**,010********,"서울특별시 송파구 송파대로8길 20 (장지동, 송파파인타운10단지)",02-404-4556,주민복지관 1층 경로당입구,라디안큐바이오,송파파인타운10단지경로당,127.1317104,37.47780123
HR-701 Plus A,58,49,김**,02-******,"서울특별시 송파구 위례광장로 170 (장지동, 힐스테이트송파위례)",02-449-5910,시니어클럽 입구,라디안큐바이오,힐스테이트송파위례경로당,127.1423248,37.47989602
Heart GuARdian HR-701Plus B,73,19,남**,02-*******,"서울특별시 영등포구 여의대방로 300, 대방역 (신길동)",226393330,대방역 맞이방,라디안큐바이오,코레일대방역,126.926303,37.51332546
HR-701 Plus A,57,46,안**,010********,"서울특별시 송파구 성내천로 211 (마천동, 우방아파트)",02-431-9334,경로당 1층 입구,라디안큐바이오,마천우방경로당,127.1520609,37.50002221
HR-701 Plus A,55,10,이**,010********,"서울특별시 송파구 올림픽로35가길 11 (신천동, 한신잠실코아)",02-416-2203,정문 앞,라디안큐바이오,한신잠실코아경로당,127.1040605,37.5163298
HR-701 Plus A,57,21,이**,010********,"서울특별시 송파구 동남로 341, 205동 1층 (오금동, 송파레미니스2단지)",010-2282-0299,출입구 옆,라디안큐바이오,레미니스2단지경로당,127.1373027,37.50650995
HR-701 Plus A,57,73,김**,010********,"서울특별시 송파구 오금로62길 13-3, 거여동 새마을 경로당 (거여동)",02-448-5929,1층 안방 거울 옆,라디안큐바이오,거여새마을경로당,127.1467496,37.49220864
HR-701 Plus A,58,46,이**,010********,"서울특별시 송파구 위례송파로 123, 1709동 B1층 (거여동, 포레나송파)",02-400-8522,거실 벽면,라디안큐바이오,포레나송파경로당,127.149261,37.48565517
HeartGuardian HR-701 Plus A,40,34,박**,010********,"서울특별시 마포구 잔다리로7길 31, 서현교회 (서교동)",02-335-5511,본당 1층 로비,라디안큐바이오,서현교회,126.9164248,37.55275659
HeartGuardian HR-701 Plus A,40,34,박**,010********,"서울특별시 마포구 잔다리로7길 31, Vision Center (서교동)",02-335-5511,비전센터 B1 E/V 옆,라디안큐바이오,서현교회,126.9164248,37.55275659
HeartGuardian HR-701 Plus A,40,67,김**,02-******,"서울특별시 마포구 독막로 113, 서울서강초등학교 (상수동)",02-334-2410,본관 1층 남향현관문 안쪽,라디안큐바이오,서울서강초등학교,126.9274309,37.54810508
HR-701 PLUS A,75,99,김**,010********,"서울특별시 강서구 마곡서1로 111-11 (마곡동, 마곡엠밸리5단지)",010-46817623,실버라운지,라디안,마곡엠밸리5단지경로당,126.817289,37.56580015
Heart Guardian HR-503-KT,43,1,허**,010********,"서울특별시 용산구 청파로 378, 한국철도공사 (동자동)",032-745-7400,직통열차(101),(주)라디안큐바이오,공항철도서울역,126.9704843,37.54911848
Heart Guardian HR-503-KT,43,1,허**,010********,"서울특별시 용산구 청파로 378, 한국철도공사 (동자동)",032-745-7400,직통열차(102),(주)라디안큐바이오,공항철도서울역,126.9704843,37.54911848
Heart Guardian HR-503-KT,43,1,허**,010********,"서울특별시 용산구 청파로 378, 한국철도공사 (동자동)",032-745-7400,직통열차(103),(주)라디안큐바이오,공항철도서울역,126.9704843,37.54911848
HeartGuardian HR-701 Plus A,39,0,주**,02-*******,"서울특별시 마포구 한강난지로 28, 난지캠핑장 (상암동)",02-373-2021,관리사무소 내,라디안큐바이오,한강공원난지캠핑장,126.8725925,37.57018405
Heart Guardian HR-503-KT,43,1,허**,010********,"서울특별시 용산구 청파로 378, 한국철도공사 (동자동)",032-745-7400,직통열차(104),(주)라디안큐바이오,공항철도서울역,126.9704843,37.54911848
Heart Guardian HR-503-KT,43,1,허**,010********,"서울특별시 용산구 청파로 378, 한국철도공사 (동자동)",032-745-7400,직통열차(105),(주)라디안큐바이오,공항철도서울역,126.9704843,37.54911848
Heart Guardian HR-503-KT,43,1,백**,010********,"서울특별시 용산구 청파로 378, 한국철도공사 (동자동)",032-745-7400,직통열차(106),(주)라디안큐바이오,공항철도서울역,126.9704843,37.54911848
HeartOn A15-G4,43,36,김**,010********,서울특별시 용산구 후암로4길 10 (후암동),02-727-0114,1층 현관,(주)메디아나,(주)헤럴드,126.9789059,37.54671498
HeartOn A15-G4,48,6,최**,02-*******,"서울특별시 성동구 천호대로78길 15-48, 성동구립체육센터 (용답동)",02-2204-6622,수영장 앞,(주)메디아나,성동구도시관리공단 용답체육센터,127.0570568,37.56183119
HeartOn A15-G4,48,6,최**,02-*******,"서울특별시 성동구 천호대로78길 15-48, 성동구립체육센터 (용답동)",02-2204-6622,1층로비,(주)메디아나,성동구도시관리공단 용답체육센터,127.0570568,37.56183119
HR-701 Plus A,33,88,심**,02-******,"서울특별시 은평구 연서로18길 17, 대조초등학교 (대조동)",23523383,교무실,라디안,대조초등학교,126.9193022,37.61357914
HeartOn A15-G4,63,62,전**,02-*******,"서울특별시 강남구 광평로 지하270, 수서역 (수서동)",02-6048-7292,B1고객안전센터 앞,메디아나,GTX-A수서역,127.1018592,37.48738899
HeartOn A15-G4,63,62,전**,02-*******,"서울특별시 강남구 광평로 지하270, 수서역 (수서동)",02-6048-7292,B4상선 승강장 6-3,메디아나,GTX-A수서역,127.1018592,37.48738899
NT-381,45,15,김**,02-******,"서울특별시 중구 서소문로 131-1, 서울남대문경찰서 서소문파출소 (서소문동)",27771942,순찰차 내,나눔테크,서울남대문경찰서 서소문파출소,126.9754669,37.56382651
HR-701 Plus A,82,53,천**,010********,"서울특별시 구로구 고척로 49 (오류동, 동부골든아파트)",02-2614-3557,동부 경로당 안,라디안큐바이오,오류동부골든아파트(분양),126.8413534,37.49996525
HR-701 Plus A,83,57,신**,02-*******,"서울특별시 구로구 경인로8길 75 (오류동, 삼천리아파트)",226827842,경로당,라디안큐바이오,삼천리아파트,126.8395728,37.4928695
HR-701 Plus A,82,9,최**,02-*******,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",236679001,노인정,라디안큐바이오,신도림디큐브시티아파트,126.888213,37.50812307
HR-701 Plus A,83,65,오**,011********,"서울특별시 구로구 천왕로 56 (천왕동, 천왕 이펜하우스 3단지)",02-2689-1503,경로당,라디안큐바이오,천왕이펜하우스3단지아파트,126.8398337,37.48296941
HR-701 Plus A,82,74,조**,010********,"서울특별시 구로구 경인로 302 (개봉동, 센트레빌 레우스 1단지)",02-2612-5000,경로당,라디안큐바이오,개봉역센트레빌레우스아파트,126.8546644,37.49630546
HR-701 Plus A,82,23,김**,02-*******,"서울특별시 구로구 중앙로6길 5-15 (고척동, 청구아파트)",226181774,경로당 1층 정문,라디안큐바이오,고척청구아파트,126.8644137,37.50141071
HR-701 Plus A,82,84,정**,02-******,"서울특별시 구로구 가마산로 231 (구로동, 보광아파트)",28576621,경로당,라디안큐바이오,보광아파트,126.8846651,37.49501733
HeartOn A15-G4,69,4,김**,824****,"서울특별시 동작구 현충로 119 (흑석동, 명수대현대아파트)",02-824-4389,정문초소,(주)메디아나,명수대현대아파트,126.9663101,37.50750847
HR-701-PlusA,88,50,이**,02-******,"서울특별시 관악구 난우길 40, 서울난우초등학교 (신림동)",070-7874-1208,보건실,라디안큐바이오,난우초등학교,126.9174588,37.47712059
HeartOn A15-G4,69,4,김**,824****,"서울특별시 동작구 현충로 119 (흑석동, 명수대현대아파트)",02-824-4389,노인정,(주)메디아나,명수대현대아파트,126.9672582,37.50827135
HR-701-PlusA,88,50,이**,02-******,"서울특별시 관악구 난우길 40, 서울난우초등학교 (신림동)",070-7874-1208,1층 본관복도,라디안큐바이오,난우초등학교,126.9174588,37.47712059
HR-707-PlusA,88,15,조**,010********,"서울특별시 관악구 신림로 67, 서울산업정보학교 (신림동)",6331-1909,2층 보건실 입구,라디안큐바이오,서울산업정보학교,126.9419406,37.47050417
Heart On A15-G4,73,1,신**,070********,"서울특별시 영등포구 영등포로36길 13, 충무병원 (영등포동4가)",02-2678-0001,3병동,메디아나,씨엠병원,126.9038759,37.51881591
Heart On A15-G4,73,1,신**,070********,"서울특별시 영등포구 영등포로36길 13, 충무병원 (영등포동4가)",02-2678-0001,수술실,메디아나,씨엠병원,126.9038759,37.51881591
NT-381.C,60,83,박**,02-***********,"서울특별시 강남구 영동대로112길 4, 삼성1파출소 (삼성동)",02-511-5049,강남 순41호 순찰차 트렁크,(주)나눔테크,삼성1파출소,127.0605459,37.51490744
NT-381.C,60,83,박**,02-***********,"서울특별시 강남구 영동대로112길 4, 삼성1파출소 (삼성동)",02-511-5049,강남 순42호 순찰차 트렁크,(주)나눔테크,삼성1파출소,127.0605459,37.51490744
HeartOnA15-G4,63,74,이**,02-*******,"서울특별시 강남구 자곡로3길 21 (자곡동, 강남자곡 힐스테이트)",02-3412-5678,노인정,메디아나,강남자곡힐스테이트,127.0882312,37.47185269
HeartOnA15-G4,63,74,이**,02-*******,"서울특별시 강남구 자곡로3길 21 (자곡동, 강남자곡 힐스테이트)",02-3412-5678,관리사무소 사무실,메디아나,강남자곡힐스테이트,127.0882312,37.47185269
HR-701 Plus A,86,0,박**,010********,"서울특별시 금천구 금하로1마길 15-8, 철쭉경로당 (독산동)",02-898-4905,1층 경로당 출입구,라디안큐바이오,철쭉경로당,126.8902838,37.45311149
HR-701-PlusA,87,23,김**,02-******,"서울특별시 관악구 성현로 57, 서울구암고등학교 (봉천동)",02-879-9823,2층 체육관 앞 복도,라디안큐바이오,구암고등학교,126.9497832,37.49245985
HR-701 Plus A,85,96,최**,02-******,"서울특별시 금천구 벚꽃로 73 (독산동, 금천현대아파트)",02-809-1242,1층 경로당 입구,라디안큐바이오,금천현대아파트경로당,126.8904233,37.46291004
HR-701 Plus A,86,8,김**,010********,"서울특별시 금천구 벚꽃로 40 (독산동, 금천 롯데캐슬 골드파크 1차)",02-806-7780,1층 경로당 입구,라디안큐바이오,금천롯데캐슬골드파크1차경로당,126.8930206,37.46005964
HR-701 Plus A,86,6,나**,010********,"서울특별시 금천구 벚꽃로 100 (독산동, 독산역 롯데캐슬)",02-803-8576,1층 경로당 입구,라디안큐바이오,독산역롯데캐슬경로당,126.8911108,37.46417065
HeartGuardian HR-701 Plus A,39,95,김**,070********,서울특별시 마포구 월드컵북로2길 49 (동교동),02-338-7830,지하 1층 다리소극장 객석 뒤,라디안큐바이오,청년문화공간JU동교동,126.9223604,37.55806995
Hr-701 PLUS A,77,98,김**,010********,"서울특별시 강서구 마곡서1로 100 (마곡동, 마곡엠밸리6단지)",010-9059-8921,경로당 내부,라디안큐바이오,마곡엠밸리6단지경로당,126.8196234,37.5657541
HR-701 PLUS A,77,98,강**,010********,"서울특별시 강서구 마곡서로 133 (마곡동, 마곡엠밸리7단지)",010-7577-1199,경로당 내부,라디안큐바이오,마곡엠밸리7단지경로당,126.8238387,37.5645561
HR-701 PLUS A,76,0,김**,010********,"서울특별시 강서구 공항대로 103 (마곡동, 마곡 엠밸리 9단지)",010-3759-6464,경로당 거실,라디안큐바이오,마곡엠밸리9단지경로당,126.819206,37.56226697
HR-701 PLUS A,76,29,정**,010********,"서울특별시 강서구 마곡중앙1로 72 (마곡동, 마곡엠밸리10단지)",010-9446-8655,경로당 내,라디안큐바이오,마곡엠밸리10단지경로당,126.8200632,37.55904001
HR-701 PLUS A,76,30,정**,010********,"서울특별시 강서구 마곡중앙로 33 (마곡동, 마곡엠밸리14단지)",010-5665-1284,경로당 할머니방,라디안큐바이오,마곡엠밸리14단지경로당,126.8240802,37.5580501
HR-701 PLUS A,75,99,김**,010********,"서울특별시 강서구 마곡중앙3로 74 (마곡동, 마곡힐스테이트)",010-5413-1551,경로당 내,라디안큐바이오,마곡힐스테이트경로당,126.8186568,37.56467323
HR-701 PLUS A,78,9,유**,010********,"서울특별시 강서구 마곡중앙1로 71 (마곡동, 마곡 13단지 힐스테이트 마스터)",010-6557-2447,경로당 내부,라디안큐바이오,마곡힐스테이트13단지경로당,126.8178746,37.55690832
HR-701 PLUS A,75,10,이**,010********,"서울특별시 강서구 금낭화로 287-19 (방화동, 방화5단지아파트)",010-8954-3407,경로당 할아버지방,라디안큐바이오,방화5단지아파트경로당,126.8102869,37.57680385
HR-701 PLUS A,76,11,김**,010********,"서울특별시 강서구 개화동로21길 4 (방화동, 방화11단지아파트)",010-3517-8582,경로당 할머니방,라디안큐바이오,방화11단지아파트경로당,126.8057256,37.57072031
HR-701 PLUS A,76,11,조**,010********,"서울특별시 강서구 양천로6길 28 (방화동, 마곡중앙하이츠아파트)",010-5340-5479,경로당 할머니방,라디안큐바이오,마곡중앙하이츠아파트경로당,126.8063998,37.57102749
HR-701 PLUS A,76,12,이**,010********,"서울특별시 강서구 개화동로23길 26, 방화2동경로당 (방화동)",010-3049-1536,경로당 할머니방,라디안큐바이오,방화경로당,126.8070667,37.56667119
HR-701 PLUS A,76,6,이**,010********,"서울특별시 강서구 방화대로37길 47-5, 방화경로당 (방화동)",010-4751-3918,경로당 거실,라디안큐바이오,방화1동구립경로당,126.8138923,37.5697776
HR-701 PLUS A,76,16,김**,010********,"서울특별시 강서구 방화대로21가길 18, 산우물경로당 (공항동)",010-5575-9926,경로당 할아버지방,라디안큐바이오,산우물경로당,126.8146751,37.5637246
HR-701 PLUS A,75,19,박**,010********,"서울특별시 강서구 방화대로48길 40 (방화동, 도시개발공사아파트)",010-9487-7090,경로당 할아버지방,라디안큐바이오,상록수아파트경로당,126.8201679,37.57425563
HR-701 PLUS A,75,73,송**,010********,서울특별시 강서구 강서로74길 11 (등촌동),010-3770-2818,경로당 내부,라디안큐바이오,성재정경로당,126.8418781,37.5677035
HR-701 PLUS A,77,37,김**,010********,"서울특별시 강서구 곰달래로49길 130, 신곡경로당 (화곡동)",010-7377-6692,경로당 거실,라디안큐바이오,신곡경로당,126.8545515,37.5367008
HR-701 PLUS A,76,41,송**,010********,"서울특별시 강서구 남부순환로19길 105, 신광명경로당 (외발산동)",010-3733-2683,경로당 거실,라디안큐바이오,신광명경로당,126.8229295,37.54689999
HR-701 PLUS A,76,97,허**,010********,"서울특별시 강서구 화곡로31다길 20 (화곡동, 우장산숲아이파크)",010-9912-7530,경로당 거실,라디안큐바이오,우장산숲아이파크아파트경로당,126.8387978,37.54524578
HR-701 PLUS A,76,51,남**,010********,"서울특별시 강서구 강서로 348 (내발산동, 우장산힐스테이트)",010-3772-1953,경로당 거실,라디안큐바이오,우장산힐스테이트경로당,126.8380811,37.55707841
HR-701 PLUS A,75,60,문**,010********,"서울특별시 강서구 공항대로 583 (염창동, e편한세상)",010-5636-9157,경로당 거실,라디안큐바이오,이편한세상아파트경로당,126.8702426,37.54859226
HR-701-Plus A,37,46,박**,010********,"서울특별시 서대문구 독립문로14길 33 (냉천동, 돈의문센트레빌)",02-364-8522,경로당 내,라디안큐바이오,돈의문센트레빌아파트경로당,126.9592895,37.56591992
HR-701-Plus A,37,45,김**,010********,"서울특별시 서대문구 독립문로14길 74 (냉천동, 동부센트레빌아파트)",02-393-3026,경로당 내부,라디안큐바이오,동부아파트경로당,126.959703,37.56649904
HR-701-Plus A,37,63,이**,02-******,"서울특별시 서대문구 이화여대8길 123 (북아현동, 힐스테이트 신촌)",02-313-4551,경로당 내,라디안큐바이오,힐스테이트신촌경로당,126.9509688,37.56237404
HR-701 Plus A,57,87,홍**,02-******,"서울특별시 송파구 양산로4길 8 (거여동, 거여4단지아파트)",02-409-7356,406동 1층 경로당 내부,라디안,거여4단지경로당,127.1441253,37.48878129
HR-701-Plus A,36,47,이**,010********,"서울특별시 서대문구 통일로 505 (홍은동, e편한세상 서대문)",02-379-5377,경로당 내,라디안큐바이오,e편한세상서대문아파트경로당,126.9396854,37.59504877
HR-701-Plus A,37,91,이**,02-******,"서울특별시 서대문구 수색로6길 43 (남가좌동, 래미안남가좌2차아파트)",02-374-9988,경로당 내,라디안큐바이오,래미안남가좌2차아파트경로당,126.9124567,37.57256563
HR-701-Plus A,37,73,김**,010********,"서울특별시 서대문구 북아현로1길 17 (북아현동, 이편한세상신촌)",02-313-9072,경로당 내,라디안큐바이오,e편한세상신촌아파트2단지경로당,126.9534505,37.55866771
HR-701-Plus A,37,16,최**,02-******,"서울특별시 서대문구 동교로 291 (연희동, 연희동임광아파트)",02-332-1272,경로당 내,라디안큐바이오,임광아파트경로당,126.9273663,37.56534697
HR-701-Plus A,37,12,양**,010********,"서울특별시 서대문구 수색로2길 39 (남가좌동, DMC금호리첸시아)",02-309-9745,경로당 내,라디안큐바이오,DMC금호리첸시아아파트경로당,126.9159047,37.57131386
HR-701-Plus A,36,86,남**,010********,"서울특별시 서대문구 증가로 191 (남가좌동, DMC래미안클라시스)",02-308-6261,경로당 내,라디안큐바이오,DMC래미안클라시스경로당,126.9173923,37.57849683
HR-701-Plus A,37,81,이**,02-*******,"서울특별시 서대문구 연희로 38-20 (연희동, 연희 대우 아파트)",02-337-4320,경로당 내,라디안큐바이오,연희대우아파트경로당,126.9285764,37.56209322
HR-701 PLUS A,75,19,이**,010********,"서울특별시 강서구 양천로 125 (방화동, 장미아파트)",010-9859-4412,경로당 거실,라디안큐바이오,방화1단지아파트(자미)경로당,126.8172458,37.57384876
HR-701-Plus A,36,87,문**,02-*******,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이)",02-6959-4997,경로당 내,라디안큐바이오,DMC에코자이시니어스클럽,126.9184813,37.57822963
HR-701 PLUS A,75,26,김**,010********,"서울특별시 강서구 양천로57길 36 (가양동, 가양5단지아파트)",010-5675-2529,경로당 할아버지방,라디안큐바이오,장수경로당,126.8535196,37.56462738
HR-701-Plus A,36,35,황**,010********,"서울특별시 서대문구 통일로 348 (홍제동, 무악청구아파트)",02-396-4920,경로당 내,라디안큐바이오,무악청구아파트경로당,126.9519605,37.58221661
Heart Keeper,36,38,노**,02-******,"서울특별시 서대문구 통일로39가길 57 (홍제동, 홍제현대아파트)",02-395-0791,정문경비실,나눔테크,홍제현대아파트,126.9412968,37.59007409
HR-701 PLUS A,77,23,정**,010********,"서울특별시 강서구 초록마을로14길 36, 초록동경로당 (화곡동)",010-9744-5184,경로당 할아버지방,라디안큐바이오,초록동경로당,126.8485099,37.54114873
HR-701-Plus A,36,31,조**,02-******,"서울특별시 서대문구 통일로34길 43 (홍제동, 홍제원현대아파트)",02-379-9324,경로당 내,라디안큐바이오,홍제원현대아파트제2경로당,126.9513519,37.58669204
HR-701-Plus A,36,90,우**,010********,"서울특별시 서대문구 거북골로 154 (북가좌동, 북가좌삼호아파트)",02-372-6267,경로당 내,라디안큐바이오,북가좌삼호아파트경로당,126.9137835,37.57656261
HR-701-Plus A,37,9,이**,02-******,"서울특별시 서대문구 수색로 100 (북가좌동, DMC 래미안 e편한세상)",02-373-7633,경로당 내,라디안큐바이오,DMC래미안e편한세상제3경로당,126.9079161,37.57473348
i-PAD CU-SP1 Plus,69,4,김**,02-******,"서울특별시 동작구 현충로 151 (흑석동, 한강현대아파트)",28126812,기전실 입구,(주)씨유메디칼씨스템,한강현대아파트,126.9689342,37.50677865
HR-701-Plus A,36,26,신**,02-******,"서울특별시 서대문구 세무서8길 30 (홍제동, 홍제역해링턴플레이스)",02-394-1117,경로당 내,라디안큐바이오,홍제역해링턴플레이스경로당,126.9469173,37.59060206
HR-701-Plus A,36,0,박**,02-******,"서울특별시 서대문구 홍은중앙로 149 (홍은동, 홍은동풍림아이원아파트)",02-379-9765,경로당 내,라디안큐바이오,홍은풍림아이원아파트경로당,126.9481558,37.60367437
HR-701-Plus A,36,10,김**,02-******,서울특별시 서대문구 홍은중앙로1길 32 (홍은동),02-396-9400,경로당 내,라디안큐바이오,유원홍은아파트경로당,126.9453337,37.59712911
HR-701-Plus A,37,9,이**,02-******,"서울특별시 서대문구 수색로 100 (북가좌동, DMC 래미안 e편한세상)",02-373-7632,경로당 내,라디안큐바이오,DMC래미안e편한세상제2경로당,126.9079161,37.57473348
HR-701 PLUS A,75,12,전**,010********,"서울특별시 강서구 금낭화로24가길 40, 치현경로당 (방화동)",010-3703-4777,경로당 할머니방,라디안큐바이오,치현경로당,126.8153084,37.57984023
HR-701-Plus A,36,12,송**,02-******,"서울특별시 서대문구 세검정로1길 95 (홍은동, 홍은벽산아파트)",02-396-3934,경로당 내,라디안큐바이오,홍은벽산아파트경로당,126.9456918,37.59591997
HR-701-Plus A,37,9,이**,02-******,"서울특별시 서대문구 수색로 100 (북가좌동, DMC 래미안 e편한세상)",02-373-7631,경로당 내,라디안큐바이오,DMC래미안e편한세상제1경로당,126.9079161,37.57473348
